Age,GS,G,STL,BLK,PF,Two_Pt_Pct,Three_Pt_Pct,FT_PCt,TS_PCt,Three_Pt_Att,FTr,Assist_Pct,Steal_Pct,Block_Pct,Turnover_Pct,Usage_Pct,ORtg,DRtg,Rising_Star
20,34,58,1.1,0.5,2.3,0.43,0.33,0.8,0.5,0.45,0.23,8,1.9,1.5,13.6,18.9,95,115,0
24.5,1.5,18,0.1,0.2,1.1,0.34,0.3,0.88,0.39,0.13,0.36,8.7,1.6,2.1,15.6,20.3,86,108,0
23,1,49,0.6,0.3,1.5,0.47,0.4,0.76,0.58,0.71,0.14,7.4,1.4,1.4,7.7,16,114,113,0
22,5,37.66666667,1,0.4,1.8,0.47,0.39,0.79,0.5,0.45,0.09,29.9,2.6,1.4,14,20.9,104,111,0
23,0,19,0.3,0.1,1.4,0.44,0.41,0.89,0.58,0.65,0.12,6.8,1.1,0.7,5.7,14.1,118,116,0
23,20.33333333,56,1.2,0.4,2.2,0.57,0.35,0.72,0.56,0.48,0.26,26,2.1,1,15.8,24,107,111,0
26,29,80,0.7,0.8,2.9,0.54,0.33,0.81,0.6,0,0.46,4.6,1.1,1.9,10.8,22.5,117,110,0
29,0,15,0.5,0,0.7,0.35,0.27,0.33,0.37,0.43,0.09,29.4,3.7,0,16.2,17.2,86,104,0
28.5,66.375,66.375,1.3,0.7,3.3,0.48,0.4,0.85,0.56,0.3,0.41,21.9,1.7,1.5,10.8,35.6,113,113,1
23,0,7,0,0,0.6,0.56,0.4,0.75,0.6,0.36,0.29,18.2,0,0,20.2,23.2,104,112,0
21,0,35,0.3,0.1,0.9,0.36,0.31,0.85,0.45,0.6,0.12,9.5,1.5,0.9,11.2,18.1,92,109,0
25.5,1.5,35,0.6,0.1,2.7,0.39,0.39,0.8,0.52,0.54,0.22,6.2,1.7,0.8,11.3,18.8,109,113,0
24,0,9,0.9,0,1.2,0.52,0.33,0.83,0.54,0.5,0.14,13.7,3.3,0,10.1,18.1,105,109,0
23,50.66666667,67.33333333,0.8,0.2,2.6,0.59,0.38,0.78,0.58,0.53,0.25,12.1,1.6,0.7,13.4,18.6,108,118,0
